,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,month 1,accommodates,bathrooms,bedrooms,bed_type,review_scores_rating,Laptop_friendly_workspace,TV,Family_kid_friendly,Host_greets_you,Smoking_allowed,Hot_water,no_of_amenities
147,6.0,96.0,0.0,100,3,63,515.0,0.79,2,325,243.0,4,1.0,2.0,4.0,94.0,1.0,1.0,1.0,1.0,0.0,1.0,31
148,4.0,18.0,0.0,80,4,79,1411.0,0.9,1,0,242.0,2,0.0,1.0,2.0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,11
149,5.0,23.0,0.0,50,2,3,541.0,0.04,2,242,274.0,4,1.0,0.0,4.0,100.0,1.0,1.0,1.0,1.0,0.0,1.0,14
150,4.0,2.0,1.0,49,1,40,579.0,0.75,1,0,201.0,2,1.0,1.0,4.0,95.0,0.0,1.0,0.0,0.0,0.0,0.0,13
151,6.0,90.0,0.0,55,120,25,562.0,0.3,2,105,201.0,5,1.0,2.0,4.0,98.0,1.0,1.0,1.0,1.0,0.0,1.0,31
152,4.0,18.0,0.0,79,2,212,687.0,2.44,3,6,219.0,4,1.0,0.0,4.0,96.0,1.0,1.0,1.0,0.0,0.0,1.0,20
153,4.0,18.0,0.0,75,2,253,637.0,2.94,3,0,213.0,4,1.0,1.0,4.0,97.0,1.0,1.0,0.0,0.0,0.0,1.0,25
154,1.0,118.0,1.0,49,2,398,505.0,4.51,2,140,207.0,2,1.0,1.0,4.0,98.0,0.0,0.0,0.0,0.0,0.0,1.0,11
155,4.0,2.0,1.0,38,3,341,497.0,3.92,1,43,263.0,2,1.0,1.0,4.0,94.0,1.0,0.0,1.0,0.0,0.0,1.0,23
156,2.0,54.0,0.0,65,3,33,575.0,0.4,6,328,253.0,5,1.0,2.0,4.0,84.0,0.0,1.0,1.0,0.0,0.0,0.0,22
157,1.0,52.0,1.0,75,3,132,499.0,1.54,1,301,186.0,2,1.5,1.0,4.0,98.0,1.0,1.0,0.0,1.0,0.0,1.0,32
158,4.0,2.0,0.0,75,4,90,510.0,1.12,2,62,241.0,4,1.0,1.0,4.0,90.0,1.0,1.0,1.0,1.0,0.0,1.0,22
159,2.0,7.0,1.0,38,3,101,510.0,1.17,2,142,214.0,2,1.0,1.0,4.0,94.0,0.0,1.0,0.0,0.0,0.0,1.0,31
160,1.0,32.0,1.0,89,2,6,667.0,0.28,1,338,259.0,4,1.0,2.0,4.0,95.0,1.0,1.0,1.0,1.0,0.0,1.0,35
161,4.0,18.0,0.0,74,2,301,505.0,4.48,1,66,255.0,4,1.0,2.0,4.0,87.0,1.0,1.0,1.0,0.0,0.0,1.0,18
